task_id,trial_id,model,prompt_hash,taxonomy_version,success,stage,error_type,signature,returncode,gen_elapsed_sec,elapsed_sec,context_used,context_num_files,repo_context_preview,edit_used,edit_parse_ok,edit_parse_reason,diff_export_ok,diff_export_reason,format_used,format_ok,format_reason,apply_check_ok,apply_check_reason,patch_lines_added,patch_lines_removed,files_changed,timestamp,seed
astropy__astropy-12907,0,microsoft/Phi-3.5-mini-instruct,1d006f36813d2fc095bc8da160e7e87abfd8d05ee8957d92087cee1133b4b7b9,step2-5,False,EXEC,EXEC_FAIL,docker_image_not_found,125,3.354783296585083,2.32806396484375,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
ah_bootstrap.py
astropy/logger.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/extern/six.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",True,True,ok,True,ok,,,,,,5,3,1,2026-02-27T11:00:30.487248,42
astropy__astropy-14182,0,microsoft/Phi-3.5-mini-instruct,323a3b727d26875c53e665ce8dcd10f792793ee5799a7ac698c292c0950d1af1,step2-5,False,EXEC,EXEC_FAIL,docker_image_not_found,125,1.0327954292297363,1.6571500301361084,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",True,True,ok,True,ok,,,,,,2,4,1,2026-02-27T11:00:36.263885,42
astropy__astropy-14365,0,microsoft/Phi-3.5-mini-instruct,232a841813d672f784b09b1e96ec3c80e68dec2004a89644c92446bea8d6a434,step2-5,False,EXEC,EXEC_FAIL,docker_image_not_found,125,0.6769485473632812,1.653080940246582,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",True,True,ok,True,ok,,,,,,1,3,1,2026-02-27T11:00:39.032656,42
astropy__astropy-14995,0,microsoft/Phi-3.5-mini-instruct,fd14cad64dd3edbd82b7592d7f25cd7092f8823092380514768bffb1d84d63a2,step2-5,False,EXEC,EXEC_FAIL,docker_image_not_found,125,1.3899519443511963,1.4504735469818115,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",True,True,ok,True,ok,,,,,,2,6,1,2026-02-27T11:00:41.410814,42
astropy__astropy-6938,0,microsoft/Phi-3.5-mini-instruct,c5b32e42610f8f080a47c68fd74b8756f9c425cccd00e2a95d0cec9268bcd381,step2-5,False,EXEC,EXEC_FAIL,docker_image_not_found,125,0.694577693939209,2.0574867725372314,True,80,"Existing files (choose from these):
setup.py
conftest.py
docs/conf.py
docs/conftest.py
astropy/logger.py
astropy/version.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/samp/utils.py
astropy/table/info.py
astropy/table/meta.py
... (+60 more)",True,True,ok,True,ok,,,,,,1,2,1,2026-02-27T11:00:44.294089,42
astropy__astropy-7746,0,microsoft/Phi-3.5-mini-instruct,b17508f2f0c9e41b5b4f161b651d28ae211cd3e74b0b5d30303560c5732c8eab,step2-5,False,EXEC,EXEC_FAIL,docker_image_not_found,125,0.7549612522125244,1.5093574523925781,True,80,"Existing files (choose from these):
setup.py
conftest.py
ez_setup.py
docs/conf.py
ah_bootstrap.py
astropy/logger.py
astropy/wcs/wcs.py
astropy/__init__.py
astropy/conftest.py
astropy/samp/hub.py
astropy/units/si.py
astropy/table/bst.py
astropy/table/row.py
astropy/time/core.py
astropy/units/cds.py
astropy/units/cgs.py
astropy/wcs/utils.py
astropy/extern/six.py
astropy/samp/utils.py
astropy/table/info.py
... (+60 more)",True,True,ok,True,ok,,,,,,1,2,1,2026-02-27T11:00:47.130765,42
django__django-10914,0,microsoft/Phi-3.5-mini-instruct,9e757ab3e919080971bad8389f6105bf244134b82a80aa8cfddc5287a3888681,step2-5,False,EXEC,EXEC_FAIL,docker_image_not_found,125,0.6697907447814941,2.0971052646636963,True,80,"Existing files (choose from these):
setup.py
docs/conf.py
tests/urls.py
tests/runtests.py
django/__init__.py
django/__main__.py
django/db/utils.py
tests/apps/apps.py
tests/asgi/urls.py
tests/i18n/urls.py
tests/str/tests.py
tests/wsgi/urls.py
tests/wsgi/wsgi.py
django/core/asgi.py
django/core/wsgi.py
django/shortcuts.py
django/test/html.py
django/urls/base.py
django/urls/conf.py
django/utils/_os.py
... (+60 more)",True,True,ok,True,ok,,,,,,1,3,1,2026-02-27T11:00:49.443655,42
django__django-10924,0,microsoft/Phi-3.5-mini-instruct,b90fbf868d6429a5e1d18495bf110d02a16e6f2fb4eabbbc2b7ccbf0c6ae753a,step2-5,False,EXEC,EXEC_FAIL,docker_image_not_found,125,0.7574970722198486,1.5237088203430176,True,80,"Existing files (choose from these):
setup.py
docs/conf.py
tests/urls.py
tests/runtests.py
django/__init__.py
django/__main__.py
django/db/utils.py
tests/apps/apps.py
tests/i18n/urls.py
tests/str/tests.py
tests/wsgi/urls.py
tests/wsgi/wsgi.py
django/core/wsgi.py
django/shortcuts.py
django/test/html.py
django/urls/base.py
django/urls/conf.py
django/utils/_os.py
django/utils/log.py
tests/apps/tests.py
... (+60 more)",True,True,ok,True,ok,,,,,,1,3,1,2026-02-27T11:00:52.330048,42
django__django-11001,0,microsoft/Phi-3.5-mini-instruct,4069f50e70379d13a337e3456723f8e177f34a8ca13eeb0ac7327e695448e627,step2-5,False,EXEC,EXEC_FAIL,docker_image_not_found,125,1.8879637718200684,1.4762933254241943,True,80,"Existing files (choose from these):
setup.py
docs/conf.py
tests/urls.py
tests/runtests.py
django/__init__.py
django/__main__.py
django/db/utils.py
tests/apps/apps.py
tests/i18n/urls.py
tests/str/tests.py
tests/wsgi/urls.py
tests/wsgi/wsgi.py
django/core/wsgi.py
django/shortcuts.py
django/test/html.py
django/urls/base.py
django/urls/conf.py
django/utils/_os.py
django/utils/log.py
tests/apps/tests.py
... (+60 more)",True,True,ok,True,ok,,,,,,12,3,1,2026-02-27T11:00:54.670232,42
django__django-11019,0,microsoft/Phi-3.5-mini-instruct,58a7fa89650286a791da19a404d1f30f6c3e28f97d146c8cb17bd8160e201aa3,step2-5,False,EDIT_APPLY,APPLY_FAIL,edit_apply_path_missing,-1,0.9146692752838135,0.5391280651092529,True,80,"Existing files (choose from these):
setup.py
docs/conf.py
tests/urls.py
tests/runtests.py
django/__init__.py
django/__main__.py
django/db/utils.py
tests/apps/apps.py
tests/i18n/urls.py
tests/str/tests.py
tests/wsgi/urls.py
tests/wsgi/wsgi.py
django/core/wsgi.py
django/shortcuts.py
django/test/html.py
django/urls/base.py
django/urls/conf.py
django/utils/_os.py
django/utils/log.py
tests/apps/tests.py
... (+60 more)",True,True,ok,False,empty_generated_diff:EDIT_APPLY:edit_apply_path_missing,,,,,,0,0,0,2026-02-27T11:00:58.056891,42
