task_id,trial_id,model,prompt_hash,taxonomy_version,success,stage,error_type,signature,returncode,gen_elapsed_sec,elapsed_sec,patch_lines_added,patch_lines_removed,files_changed,timestamp,seed
astropy__astropy-12907,0,Qwen/Qwen2.5-Coder-7B-Instruct,1d006f36813d2fc095bc8da160e7e87abfd8d05ee8957d92087cee1133b4b7b9,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,3.3135268688201904,0.5641942024230957,17,0,1,2026-02-12T20:14:38.975130,42
astropy__astropy-14182,0,Qwen/Qwen2.5-Coder-7B-Instruct,323a3b727d26875c53e665ce8dcd10f792793ee5799a7ac698c292c0950d1af1,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,4.221588850021362,0.622269868850708,11,0,1,2026-02-12T20:14:42.853313,42
astropy__astropy-14365,0,Qwen/Qwen2.5-Coder-7B-Instruct,232a841813d672f784b09b1e96ec3c80e68dec2004a89644c92446bea8d6a434,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.5718889236450195,0.5264041423797607,1,1,1,2026-02-12T20:14:47.697757,42
astropy__astropy-14995,0,Qwen/Qwen2.5-Coder-7B-Instruct,fd14cad64dd3edbd82b7592d7f25cd7092f8823092380514768bffb1d84d63a2,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,3.4211254119873047,0.49944543838500977,3,3,1,2026-02-12T20:14:49.796600,42
astropy__astropy-6938,0,Qwen/Qwen2.5-Coder-7B-Instruct,c5b32e42610f8f080a47c68fd74b8756f9c425cccd00e2a95d0cec9268bcd381,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.7682311534881592,0.5760595798492432,1,1,1,2026-02-12T20:14:53.717815,42
astropy__astropy-7746,0,Qwen/Qwen2.5-Coder-7B-Instruct,b17508f2f0c9e41b5b4f161b651d28ae211cd3e74b0b5d30303560c5732c8eab,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.9864206314086914,0.5242104530334473,5,0,1,2026-02-12T20:14:56.062658,42
django__django-10914,0,Qwen/Qwen2.5-Coder-7B-Instruct,9e757ab3e919080971bad8389f6105bf244134b82a80aa8cfddc5287a3888681,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.3875508308410645,0.8640329837799072,2,0,1,2026-02-12T20:14:58.573747,42
django__django-10924,0,Qwen/Qwen2.5-Coder-7B-Instruct,b90fbf868d6429a5e1d18495bf110d02a16e6f2fb4eabbbc2b7ccbf0c6ae753a,B-v2-step2-A,False,GEN,GEN_FAIL,invalid_diff_format,,6.719640016555786,6.719640016555786,0,0,0,2026-02-12T20:15:00.825724,42
django__django-11001,0,Qwen/Qwen2.5-Coder-7B-Instruct,4069f50e70379d13a337e3456723f8e177f34a8ca13eeb0ac7327e695448e627,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.3132696151733398,0.5829923152923584,1,1,1,2026-02-12T20:15:07.545651,42
django__django-11019,0,Qwen/Qwen2.5-Coder-7B-Instruct,58a7fa89650286a791da19a404d1f30f6c3e28f97d146c8cb17bd8160e201aa3,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.2058663368225098,0.527984619140625,1,1,1,2026-02-12T20:15:09.442478,42
django__django-11039,0,Qwen/Qwen2.5-Coder-7B-Instruct,36f65c6f05c2ab1e3d726d363604ea5bc6308f730aa25c7c9fe40ba6bc80a0b7,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,4.54186224937439,0.5092358589172363,12,0,2,2026-02-12T20:15:11.176948,42
django__django-11049,0,Qwen/Qwen2.5-Coder-7B-Instruct,07a2a5993d857ae63da2e22d96b4c4f356bd77fcd3d372c1e8e49b5ac23f6165,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_path_missing,1,5.3305792808532715,0.4755589962005615,2,2,2,2026-02-12T20:15:16.228644,42
django__django-11099,0,Qwen/Qwen2.5-Coder-7B-Instruct,f5b99562de014ce20827aee89e5528a00a02e8affeb1a141015efea7a7ec2a83,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.513115644454956,0.6581742763519287,1,1,1,2026-02-12T20:15:22.035252,42
django__django-11133,0,Qwen/Qwen2.5-Coder-7B-Instruct,35a73f880459029f656df5590a037e2d6bb39aa337ac8af97aef2fa11628ebb4,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,2.306269645690918,0.4896249771118164,5,0,1,2026-02-12T20:15:24.207084,42
django__django-11179,0,Qwen/Qwen2.5-Coder-7B-Instruct,968e6d6a39031377726995878085a63edaf81a73f7ddd5fc8ee76fe03c91f2c4,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.6921534538269043,0.5156700611114502,2,0,1,2026-02-12T20:15:27.003699,42
django__django-11283,0,Qwen/Qwen2.5-Coder-7B-Instruct,9b5b2b4db3235421040f7f03148d8844cb6b0e8077918c68aad0e230e497f4c4,B-v2-step2-A,False,PATCH,PATCH_FAIL,git_apply_corrupt_patch,128,1.6243712902069092,0.5206243991851807,1,1,1,2026-02-12T20:15:29.212096,42
